"","company","RD","OR","NI","TA","TE","Patent","Industry","Frequency"
"349","OXIG.L",25275,324225,11475,422425,145150,84000,"High",0
"358","GHH.L",7189.25,100413,7654.75,141466.5,93630.5,9533.5,"High",0
"370","XAR.L",11797,88331.5,6496.5,157308.5,136965.5,293,"High",0
"501","RDSB.L",1003750,298027250,10710750,389430750,185631000,8910250,"Low",0
"592","SVT.L",3100,1721775,261400,8838100,922500,76650,"Low",0
"601","BYOT.L",257.814,3041.662,-413.24875,3594.23575,2637.9075,342.82975,"High",0
"607","HAYD.L",714.75,2267.5,-4126.5,11583.5,8096,582.5,"High",0
"609","PHC.L",4451.75,7412.5,-8020.75,15732.75,13113,426.75,"High",0
"610","SCPA.L",3300,263450,14175,208225,89700,6650,"High",0
"613","VRS.L",320,6083.75,-1522,9992,6949.75,660.75,"High",0
"614","VCT.L",14925,283000,94025,500275,429000,12525,"High",0
"622","GHH.L",7189.25,100413,7654.75,141466.5,93630.5,9533.5,"High",0
"630","MSYS.L",1000.062,638.69125,-3008.4485,5858.679,5283.4395,87.14925,"High",0
"633","OXIG.L",25275,324225,11475,422425,145150,84000,"High",0
"646","XAR.L",11797,88331.5,6496.5,157308.5,136965.5,293,"High",0
"647","XPP.L",7975,150350,24875,165925,111700,8350,"High",0
"649","BAGR.L",1380,61695.5,-2656.25,36116,11713.75,3326.25,"High",0
"662","SAE.L",419.75,2443.75,-8163,115955.75,63242.5,24197.5,"Low",0
"696","DVO.L",6550,245400,11225,413625,128450,2575,"Low",0
"698","FIF.L",1979.75,298435.5,6299.5,198336.5,101625.5,10518.5,"Low",0
"711","TATE.L",33250,2539750,178500,2579750,1165500,178250,"Low",0
"713","ULVR.L",945750,52670500,6383750,57117000,14248500,10581750,"Low",0
"767","SCL.L",898750,31635000,254500,72113750,37428750,12121250,"Low",0
"769","VLS.L",11375.25,1050,-27423.25,65755.25,57863.75,17677.75,"Low",0
"805","MTMY.L",6647,207695.75,-21183.5,190599,75394.25,29498,"Low",0
"822","TAP.L",11850.25,172371.75,13632.75,133493,71297.5,19975.75,"Low",0
"830","XLM.L",2374.5,112080.5,23199.25,149256.25,118214.5,54241.75,"Low",0
"834","AFX.F",135195.75,1149795.5,105383.75,1418045,1015134,26924.25,"High",1
"835","DRW8.F",234241,2575006,61962.75,2347078.75,1023027.25,32663.5,"High",1
"836","DRW3.F",234241,2575006,61962.75,2347078.75,1023027.25,32663.5,"High",1
"838","FME.F",134739.5,16588754.5,1340159.5,24781520.15525,10164938.99925,733045.43675,"High",1
"839","FRE.F",547500,31128250,1689750,49873000,13167750,2035750,"High",1
"844","SHL.F",1183500,13397250,1308000,20155750,4500000,1570000,"High",1
"845","SBS.F",8881.25,181773.75,19046.25,238991.75,145665.5,56810.25,"High",1
"852","BIO.F",57675,430250,12475,979075,403825,3950,"High",1
"853","BIO3.F",57675,430250,12475,979075,403825,3950,"High",1
"855","MRK.F",2004500,14305500,2180750,37212000,14494750,9088250,"High",1
"857","B8F.F",4874,10850,-11690.5,23089.5,7692.5,1038.5,"High",1
"858","ECX.F",5407,2420,-10768.25,18105,12678,180.25,"High",1
"859","EVT.F",22421,232838.5,37923.5,520250.75,288366,79815,"High",1
"860","EXN.F",1209.25,2633.25,-3785,28646,22551.25,5424.25,"High",1
"861","WL6.F",7641.451,2759.008,-8895.70075,25006.305,20536.586,2832.368,"High",1
"862","MDG1.F",13015.25,7361,-13882.25,116693.25,92375.75,33787.25,"High",1
"864","MOR.F",87352.9885,74799.93925,-42870.1495,454460.39375,406309.96125,59256.83525,"High",1
"865","PA8.F",20703.4665,3227.62175,-17590.71025,34415.058,26639.044,2669.17625,"High",1
"866","QIA.F",153151.75,1384590.25,110331.5,4818539.75,2587274.5,541985.25,"High",1
"867","SRT.F",64726.75,1346412.5,121326.75,2003704,613941,267220.75,"High",1
"868","SRT3.F",64726.75,1346412.5,121326.75,2003704,613941,267220.75,"High",1
"869","VSC.F",11599.75,3181.5,-12253.25,32929,28711.5,6121.25,"High",1
"871","AOF.F",9920.4935,52925.50725,9359.165,38249.84175,21546.5605,279.99425,"High",1
"877","FBEN.F",16329.5,47138.75,-50305,271976.5,65739.75,26393.75,"High",1
"881","ISH2.F",5363.5,35978.75,-2597.25,26946.25,16028,4535.75,"High",1
"883","ISR.F",18450.75,134143.25,18998.25,279508.25,168073,11868.5,"High",1
"890","RIB.F",12523.75,106280.75,16228.75,396547.75,326629.5,68829.75,"High",1
"892","SAP.F",3216250,22755750,3699250,44910500,25989750,3565000,"High",1
"893","YSN.F",791.4465,132102.7415,12276.9425,113737.249,53858.358,1664.89375,"High",1
"897","SOW.F",116358,872396,146202.25,1921840,1160395.75,143873.5,"High",1
"898","TLI.F",2416.75,7104,111.5,1888,-11176.25,8,"High",1
"899","OSP2.F",12739.25,78260,4873.5,93905.25,61771.25,6880,"High",1
"906","WIN.F",89496.75,2402387.5,114266.25,1630041,387964.25,125207.5,"High",1
"912","RTC.F",2875.93875,22883.11225,-850.9165,20462.52075,11559.7915,85.31825,"High",1
"913","SZZ.F",596.2955,54947.575,2952.20675,29311.73775,16957.421,142.63575,"High",1
"917","ADV.F",62778.5,506269,13457.5,446628.25,231632.5,22244,"High",1
"918","AIXA.F",52893.25,223356.5,-196.75,478041.25,390934.25,3926.5,"High",1
"919","DAM.F",5584.75,209263,10885.25,109602.75,75962.5,631.5,"High",1
"920","DLG.F",277845,1336975.5,188355.25,1503077.75,1212960.25,179326.25,"High",1
"921","DBD.F",125600,3730875,-194525,4261650,315725,542800,"High",1
"922","ELG.F",35717,244070.25,23110.75,331460.75,238741.75,10481.25,"High",1
"928","IFX.F",774750,6732500,810250,9663000,5442250,502000,"High",1
"929","IXX.F",6869.25,120048.25,5542,168870,73995,7796,"High",1
"934","WAF.F",66800,1124675,139125,1292050,614225,5075,"High",1
"941","WZM.F",419,6892.5,-1517.5,5260.25,2677,342.75,"High",1
"1000","DAI.F",5632750,158561000,8619250,249279500,60011750,2109500,"High",1
"1002","ZIL2.F",69081,1606934.25,70972.75,1936510.75,844607,21876.25,"High",1
"1004","HLE.F",623916.5,6457917.5,321476.75,5367917.25,2137038.75,37143.75,"High",1
"1005","JST.F",10798,685117.25,-19160,618349.75,50777,244773.75,"High",1
"1006","LEO.F",133392.5,4740170.5,77524,3097498.75,1002783.25,56771.5,"High",1
"1009","SHA.F",779250,13694750,827750,11985750,2206000,104250,"High",1
"1016","SW1.F",9419.75,422692,10111.5,250321.25,121716.25,10310.75,"High",1
"1019","BAS.F",1921750,62974250,4707000,78164000,32903500,5211750,"High",1
"1020","BAYN.F",4473500,38907250,4418000,89381750,34344000,17405500,"High",1
"1021","1COV.F",266250,13185000,1242500,10797500,4615500,85500,"High",1
"1022","EVK.F",451750,13911500,870000,19218000,7577750,931250,"High",1
"1023","FPE3.F",45500,2346500,263000,1702000,1258500,116250,"High",1
"1024","FPE.F",45500,2346500,263000,1702000,1258500,116250,"High",1
"1026","SDF.F",15225,3824550,224000,9409925,4286700,313125,"High",1
"1027","LXS.F",120500,7332000,218750,9048500,2482250,510750,"High",1
"1028","LIN.F",97750,11911750,2168750,37868250,16756000,4539750,"High",1
"1029","SGL.F",30925,866725,-56625,1720525,402425,24175,"High",1
"1030","SY1.F",188123.25,2913810.75,261185.25,4632889,1711187.5,793540.25,"High",1
"1031","WCH.F",160750,4958350,384675,7170100,2788500,40575,"High",1
"1101","ART.F",2570.30375,17854.6675,752.94225,5963.5485,1693.598,1211.2965,"Low",1
"1205","DRREDDY.BO",18202000,145737750,16009250,211959250,122535500,30859000,"High",0
"1254","CAPPL.BO",122717,3755435.75,849628.5,3387007,2024815.5,12509,"High",0
"1260","VENUSREM.BO",263533.75,4136783,-102282.5,7999316.25,4112215.75,2157625.5,"High",0
"1293","INDOCO.BO",425126,9954445.25,707436,10547895.25,6054087.25,934813.75,"High",0
"1383","BIOCON.BO",-1762250,42190750,6100500,100086000,50375750,4860250,"High",0
"1623","RAIVV.HE",3625,330150,16125,429825,298000,47025,"Low",1
"1629","OUT1V.HE",17750,6325500,190500,5937250,2554000,63750,"Low",1
"1640","OTE1V.HE",57350,1169850,-37800,1418250,433700,139250,"Low",1
"1646","AMEAS.HE",92350,2629975,97325,2694600,940200,339025,"Low",1
"1647","AMEAS.HE",92350,2629975,97325,2694600,940200,339025,"High",1
"1648","FSC1V.HE",31279,166595.5,12300,184842.5,72457,16822.25,"High",1
"1658","SSH1V.HE",6272.6345,17140.57975,-4095.0535,22751.42025,11502.603,4970.56425,"High",1
"1662","NOKIA.HE",4116500,20477750,-33500,36592000,15506000,3220750,"High",1
"1664","BAS1V.HE",29027.25,145643.25,-7459,209021.75,124512.25,44442.5,"High",1
"1669","VAIAS.HE",39775,329750,25750,281800,182025,18575,"High",1
"1675","TELIA1.HE",192500,83506250,6291750,250351500,96571750,15797750,"High",1
"1676","ORNAV.HE",107350,1025050,253375,1078125,672275,43525,"High",1
"1677","ORNBV.HE",107350,1025050,253375,1078125,672275,43525,"High",1
"1688","PROF.AT",870.9385,11021.69875,940.43525,34979.34775,17758.88925,5496.74775,"High",1
"1691","ILYDA.AT",457.80325,2313.79625,18.9735,9047.4545,3859.40825,2985.996,"High",1
"1692","ENTER.AT",1831.876,11445.3275,1060.07825,11996.02825,8725.7645,2240.0755,"High",1
"1693","MEDIC.AT",451.57975,12735.45275,1597.13725,30479.0165,7149.8555,79.39925,"High",1
"1697","LAVI.AT",2099.5,30842.75,2690,54315.25,-26780.5,3732.5,"High",1
"1699","IKTIN.AT",722.509,45990.42675,7115.1115,91560.80575,36410.279,2281.2615,"Low",1
"1700","BIOKA.AT",399.9195,97880.449,-1729.643,126279.558,31446.45025,93.337,"Low",1
"1701","ALMY.AT",1300.97425,197911.389,-11151.36825,300111.9255,44311.80575,708.57825,"Low",1
"1722","GEKTERNA.AT",1886.5,1180871,23519.25,3449223.75,427431.25,470129.5,"Low",1
