"","company","SER","RND","ROA","Size","Frequency","Industry","Patent"
"1","CTEC.L",0.282285698806767,0.0240216858436428,0.00567496918721981,3691650,0,"High",1513875
"2","EKF.L",0.736570584738124,0.0778994638683957,-0.077722161491795,78214.5,0,"High",23763.75
"3","SN.L",0.573071362859771,0.0485452245414295,0.0862136943093705,7609000,0,"High",1373500
"4","ABC.L",0.83634757317066,0.0765633689553346,0.132309691388251,339002,0,"High",76180.75
"5","AGY.L",0.546403373272659,0.199163332931947,-0.106588365178103,53894.25,0,"High",1929
"6","ANCR.L",0.515475180210498,0.0382947231999529,0.00489909187565232,102519,0,"High",36508
"7","AZN.L",0.246452570492362,0.239451579688939,0.0465555767335667,61646750,0,"High",24594750
"8","AVCT.L",0.9326874983547,0.835056986070072,-0.261791314572529,28490.25,0,"High",60.5
"9","BMK.L",0.69661517232154,0.109015235404177,-0.0250953528362959,426114.75,0,"High",143241
"10","BTG.L",0.749898254257256,0.164531725066042,0.0305665631359109,1167125,0,"High",584925
"11","C4XD.L",0.894558132484463,2.75583482944345,-0.494224647567076,8246.25,0,"High",429
"12","CIR.L",0.678298871567412,0.701945525291829,-0.263126997586589,383275,0,"High",188450
"13","DPH.L",0.509079331112225,0.0589153323115187,0.0376591722543722,626188.75,0,"High",271489.75
"14","ERGO.L",0.610378675647735,0.0440763634231969,-0.0639581357178637,46913.5,0,"High",11657.5
"15","FARN.L",0.461885253568289,12.1679560768655,-1.0751258020465,13364.25,0,"High",538.75
"16","GNS.L",0.50542051040334,0.0931126908285748,0.0554508113931722,742550,0,"High",78700
"17","GSK.L",0.0463929789315076,0.131476081156543,0.0638355053882824,56743500,0,"High",17553000
"18","HIK.L",0.500686168291802,0.0534072471606274,-0.0111231491513182,3461250,0,"High",585500
"19","HZD.L",0.885442077887012,0.276985509740236,-0.125230869042641,133327.75,0,"High",32061.5
"20","HVO.L",0.74750332036256,0.552375176874874,-0.305268308595661,53646.25,0,"High",2486.25
"21","IMM.L",0.750315547812081,27.1507542482844,-0.832081045543553,5503.128,0,"High",519.08875
"22","INDV.L",-0.138407630912984,0.0976019184652278,0.116021023943936,1284250,0,"High",80250
"23","IXI.L",0.678630546247325,0.32159727908295,-0.222778473091364,6192.25,0,"High",254.75
"24","MTPH.L",0.757418670364185,2.02141976000897,-0.322246031996134,47599.5,0,"High",17463.25
"25","OXB.L",0.224693382647988,0.647727502988795,-0.108641113766814,71648.75,0,"High",821.75
"26","SUMM.L",0.260466757841796,2.29385924773497,-0.441339097954442,34000.5,0,"High",6302.75
"27","VEC.L",0.804013594432756,0.398239760109238,-0.0856530138371905,617900,0,"High",276075
"28","ACSO.L",0.689635072474604,0.0696496195205602,0.0361147686475515,180563.25,0,"High",34094.5
"29","ACT.L",0.954145982032753,2.32347686741845,-0.363115774886688,15494.6945,0,"High",931.97875
"30","AVV.L",0.641418490040915,0.175983279676465,0.0466883372762063,1069651.5,0,"High",361025.75
"31","BRY.L",0.614678166882343,0.164484468278863,-0.0792682579225503,43854.25,0,"High",11998.25
"32","CLSU.L",0.852136831371095,0.0831646031798719,-0.190020394919811,10787,0,"High",2615
"33","CRW.L",0.574431379793743,0.168248863460365,0.133896067202052,92021,0,"High",7710.25
"34","DFX.L",0.636506598155333,0.0891987238798789,-0.284590359317015,8503.7025,0,"High",4018.451
"35","FDP.L",0.519227077315996,-0.00323055532837164,0.0463404164446678,231795.5,0,"High",47100.25
"36","IND.L",0.652665768699596,0.0781864369339518,-0.0526674737003632,29325.5,0,"High",199.5
"37","IBM.L",0.140334757700287,0.0684852835606604,0.0829510198173706,119175750,0,"High",3751000
"38","MCRO.L",0.444500873838045,0.132425798104074,0.0364356350630237,10770588.5,0,"High",3960302.25
"39","OMG.L",0.715286338321101,0.115981961708499,0.0939584163047532,39546.75,0,"High",2633.5
"40","RM.L",0.228449420754756,0.0384823358571935,0.115207486259526,122357.5,0,"High",10029
"41","SND.L",0.591227951752177,0.389024066301865,0.0528950251572,48147.25,0,"High",6241.5
"42","SDL.L",0.636184534559186,0.0787916816063105,-0.0032014447545559,304550,0,"High",18150
"43","SPE.L",0.483572911804002,0.164118447604299,0.142765159441753,31061.5,0,"High",4746.75
"44","SOPH.L",-0.00894690208112722,0.212380088770105,-0.05292503187604,1156825,0,"High",45200
"45","STAR.L",0.508380104509387,0.0352583306447896,-0.233830075479001,6458.75,0,"High",2487
"46","USY.L",-0.624907120066436,0.0156543244523179,-0.0161064731850168,2287900,0,"High",143975
"47","ZOO.L",0.179997728735284,0.0182853453083267,-0.128894272627475,13208.5,0,"High",3211.25
"48","AMO.L",0.697414557649726,0.0791631887859878,0.077824633944356,85130.5,0,"High",10565.25
"49","BVC.L",0.677805927852369,0.0704493985968064,-0.0271314459169437,126504.5,0,"High",5544.25
"50","CNC.L",0.81873114567562,0.0586166127236407,0.128223494524241,22047.74375,0,"High",24.8025
"51","FST.L",0.608759438750678,0.190452487453633,-0.256692300204419,35955.5,0,"High",8123
"52","MWE.L",0.696636179044402,0.0381663849033891,0.0578965337550089,27825.5,0,"High",266.5
"53","NANO.L",0.827472386484248,2.94554871220605,-0.404691090194432,21434.25,0,"High",2573.75
"54","SEE.L",0.838557249057259,0.574807984679928,-0.387675214811217,50766.52375,0,"High",1102.098
"55","SPT.L",0.686148506027487,0.230299458938233,0.0261738355457573,532975,0,"High",14475
"56","TCM.L",0.36297652768655,0.127660182059556,-0.0486275194970772,303346.75,0,"High",34737.5
"57","AXS.L",0.506026747875843,0.0287212302229455,-0.0725856577378209,84062.75,0,"Low",1829
