"","company","RD","OR","NI","TA","TE","Patent","Industry","Frequency"
"120","CRW.L",9233.75,54881.5,12321.25,92021,52859.75,7710.25,"High",0
"121","TIDE.L",NA,1983.75,223.75,3699.25,2569,1025.75,"High",0
"122","D4T4.L",NA,16660.55,2760.4,25926.25,16260.5,1634,"High",0
"123","DFX.L",376.5775,4221.78125,-2420.07175,8503.7025,5412.66275,4018.451,"High",0
"124","DSG.L",NA,9418.5,351.75,11968.75,6302,5265.25,"High",0
"125","DOTD.L",NA,30838,6432,33567.75,26823.25,5358.5,"High",0
"126","EYE.L",NA,9281.25,-3566.25,10849.5,7486,2433,"High",0
"127","EPO.L",NA,26050.25,-8676,41286,30634,5566.25,"High",0
"128","ECK.L",NA,24672.75,1287.5,33849,19511.25,5113.75,"High",0
"129","ECSC.L",NA,3938.9325,-1135.752,3717.807,2418.877,357.302,"High",0
"130","ELCO.L",NA,18817.75,1532.75,24816.5,11192.25,4049.75,"High",0
"131","EMIS.L",NA,161258.5,14496,178408,104564.25,55742.25,"High",0
"132","ESG.L",NA,13873.3575,-27768.57275,54980.25,40281.75,4151,"High",0
"133","EUSP.L",NA,4023.5815,-522.9335,2333.46125,-424.044,NA,"High",0
"134","FDM.L",NA,207136,29318.25,86735.5,59122.25,168.75,"High",0
"135","FDP.L",-434.5,134497,10741.5,231795.5,120354.5,47100.25,"High",0
"136","FBT.L",NA,778.17175,-2451.87625,4590.90925,4150.00925,1162.16425,"High",0
"137","GBG.L",NA,84468,8836.25,141487.25,88617.5,24800.25,"High",0
"138","GHT.L",NA,18014,1735,32043.25,21488,16942.75,"High",0
"139","IDEA.L",NA,24889.25,1014.25,63004.5,40443.75,28875,"High",0
"140","IDOX.L",NA,70127,-4012,134155.25,64306.5,34797.25,"High",0
"141","IMO.L",NA,74497,725.5,82430,42363.25,9096.5,"High",0
"142","IND.L",3539.5,45270,-1544.5,29325.5,19139.75,199.5,"High",0
"143","ING.L",NA,13960.25,-68.5,13728.5,5121.75,NA,"High",0
"144","INS.L",NA,19604,685.5,28467,12391.25,5697.75,"High",0
"145","IGP.L",NA,9328.25,-2505.5,7884,1315.25,NA,"High",0
"146","IBM.L",5485500,80097500,9885750,119175750,16724500,3751000,"High",0
"147","IOM.L",NA,82329.75,11071,146899.25,86732,22184.75,"High",0
"148","KBT.L",NA,85134.07775,-3654.4105,113240.75,69271,22348.5,"High",0
"149","KNOS.L",NA,79389,11068.5,49468.75,28842.25,NA,"High",0
"150","MCRO.L",279642.97025,2111695.56275,392433.232,10770588.5,4787536,3960302.25,"High",0
"151","MCGN.L",NA,NA,NA,NA,NA,NA,"High",0
"152","MPM.L",NA,1496.25675,-4354.03575,6704.79,5217.66475,1241.74575,"High",0
"153","NASA.L",NA,20563.5,-941,35850.25,23583.5,9831.75,"High",0
"154","NCC.L",NA,197824,-6653,351916.25,203731.5,53968.75,"High",0
"155","NET.L",NA,17951,1538,35076.25,22002,4578.5,"High",0
"156","OMG.L",3272.75,28217.75,3715.75,39546.75,28287.25,2633.5,"High",0
"157","OSI.L",NA,576.13575,-1513.0775,3828.38075,3027.156,1491.69975,"High",0
"158","PTY.L",NA,86074.5,-764.75,25014.25,6558.75,532,"High",0
"159","PEN.L",NA,16560.83075,1073.64075,15381.9165,11362.08225,90.22925,"High",0
"160","PHD.L",NA,28554.5,1693,72591.5,35149.75,22388.25,"High",0
"161","QTX.L",NA,23309.25,5951.75,24187.5,16930.75,NA,"High",0
"162","RCN.L",NA,100324.25,478.75,139212.75,82768.75,45036.25,"High",0
"163","RTHM.L",NA,183781.25,-36429.25,284663.5,215888.75,48084.25,"High",0
"164","RM.L",7241.25,188170.75,14096.5,122357.5,27952.5,10029,"High",0
"165","RDT.L",NA,4158.57175,-2601.99775,4936.22875,2248.13675,NA,"High",0
"166","SGE.L",NA,1608875,249325,2867425,1102525,187125,"High",0
"167","SND.L",9153.25,23528.75,2546.75,48147.25,28466,6241.5,"High",0
"168","SSY.L",NA,48364.75,1794.5,53029,23686.75,4017.5,"High",0
"169","SDL.L",21975,278900,-975,304550,193750,18150,"High",0
"170","SIM.L",1903.25,5579.25,45.5,12081.25,9784.75,NA,"High",0
"171","SCT.L",NA,795649.75,39847.25,239489.75,93103.5,488.25,"High",0
"172","SPE.L",4371.5,26636.25,4434.5,31061.5,15020.5,4746.75,"High",0
"173","SOPH.L",111250,523825,-61225,1156825,-10350,45200,"High",0
"174","STAR.L",191.25,5424.25,-1510.25,6458.75,3283.5,2487,"High",0
"175","SOG.L",NA,42958.25,-2871.25,80115.75,32904.75,14277.75,"High",0
"176","STL.L",NA,1664.75,282.5,4017.25,3503,569.25,"High",0
"177","SYS.L",NA,6005.5,158.25,11565,7872.25,1908.5,"High",0
"178","TAX.L",NA,NA,-1847.25,NA,25020.25,NA,"High",0
"179","TECH.L",NA,15881.5,-321,11644,6310.25,598.25,"High",0
"180","TEK.L",NA,756.68525,1341.57775,8729.7835,8311.4555,948.96825,"High",0
"181","TERN.L",NA,109.068,777.34825,10342.11925,10053.04875,NA,"High",0
"182","TRCS.L",NA,32215,4555.75,47925.5,31699.75,18814.25,"High",0
"183","TRD.L",NA,27632.5,1180.75,6689.75,2914.75,34.25,"High",0
"184","TRB.L",NA,90490,-9976.75,77650.25,25419,13894.75,"High",0
"185","USY.L",44625,2850650,-36850,2287900,-1429725,143975,"High",0
"186","WAND.L",NA,14757.25,-17822.25,26809.75,10161.5,6789.25,"High",0
"187","WTG.L",NA,46335,46209,130712.75,78833.75,5441.75,"High",0
"188","ZOO.L",311.5,17035.5,-1702.5,13208.5,2377.5,3211.25,"High",0
"189","AMO.L",5975,75477,6625.25,85130.5,59371.25,10565.25,"High",0
"190","BVC.L",7295,103549.5,-3432.25,126504.5,85745.5,5544.25,"High",0
"191","CML.L",957.5,26012,3408.25,46213.5,35238,NA,"High",0
"192","CNC.L",972.22525,16586.1725,2827.03875,22047.74375,18051.1745,24.8025,"High",0
"193","CYAN.L",NA,864.9765,-6008.174,9846.91675,7969.04,NA,"High",0
"194","FTC.L",NA,22618,-2819.25,17802,9936.5,142.5,"High",0
"195","FST.L",6982.75,36664,-9229.5,35955.5,21888.25,8123,"High",0
"196","IQE.L",NA,139375.5,13268.5,299971,230645.25,36577,"High",0
"197","MWE.L",1078,28244.75,1611,27825.5,19384.25,266.5,"High",0
"198","NANO.L",5260.75,1786,-8674.25,21434.25,17736.25,2573.75,"High",0
"199","NAR.L",NA,60680,-902.25,26475,18793.25,NA,"High",0
"200","QXT.L",NA,89145.5,10753.75,69246.25,41659.75,4395.5,"High",0
"201","SEE.L",13122.2945,22829.00525,-19680.923,50766.52375,42570.6365,1102.098,"High",0
"202","SPT.L",107475,466675,13950,532975,365700,14475,"High",0
"203","SRT.L",NA,8890.7655,-824.20275,16705.976,12435.17125,NA,"High",0
"204","TCM.L",48056.75,376442.75,-14751,303346.75,110107.75,34737.5,"High",0
"205","TOOP.L",NA,945.181,-1180.48725,1235.142,373.8195,16.22375,"High",0
"206","TST.L",NA,7766.5,-2591.25,9499.5,3909.25,NA,"High",0
"207","TRAK.L",NA,25085.656,2018.45375,29496.7305,16610.3475,1185.09375,"High",0
"208","UKOG.L",NA,205.75,-5670.5,25500.5,21913.5,NA,"High",0
"209","INSP.L",NA,NA,-600.5,2903,2150.25,2417.75,"Low",0
"210","AXS.L",1553,54071.5,-6101.75,84062.75,42538,1829,"Low",0
"211","ALU.L",NA,96424,5429.25,70319.5,19341.75,2937.5,"Low",0
"212","ASH.L",NA,16540,-2389.5,12142.25,4217.25,NA,"Low",0
"213","AUK.L",NA,16115,-60.75,13334,5984.75,898,"Low",0
"214","BBY.L",NA,6857000,30250,4705500,943000,246500,"Low",0
"215","BILN.L",NA,66917.75,3242,38396,20148.5,NA,"Low",0
"216","BOOT.L",NA,322132.5,32793.25,406774.5,254086.75,3365.25,"Low",0
"217","BREE.L",NA,572060,45756.75,845970.75,500350.25,17162.25,"Low",0
"218","CTO.L",NA,289750,3575,129675,18050,13350,"Low",0
"219","COST.L",NA,1496250,28500,604050,139125,9025,"Low",0
"220","CRH.L",NA,24551250,1594750,32601750,14356500,351250,"Low",0
"221","EPWN.L",NA,280775,12700,186900,88675,3875,"Low",0
"222","ECEL.L",NA,214840,18586.5,109586,43536,10486.75,"Low",0
"223","FORT.L",NA,320800,36450,284450,24375,8625,"Low",0
"224","FOX.L",NA,595.869,-2888.34475,11623.92825,8779.7385,1240.112,"Low",0
"225","HSM.L",NA,12797.25,789,11389,3473.25,NA,"Low",0
"226","IBST.L",NA,378765.54975,82922.33425,706693.75,376804.25,116921.5,"Low",0
"227","JHD.L",NA,235924,35602,190143.75,111701,NA,"Low",0
"228","KLR.L",NA,1909375,36250,1323525,416175,18000,"Low",0
"229","KIE.L",NA,3908925,21200,2705225,566325,281600,"Low",0
"230","KGP.L",NA,3480850,264675,3204675,1503925,92925,"Low",0
"231","LWB.L",5225,410125,-11625,448675,164075,20200,"Low",0
"232","MSLH.L",NA,426077,39990,395917.75,227256,10232.5,"Low",0
"233","MRO.L",NA,2961850,217275,7379450,3782550,2102225,"Low",0
"234","MBH.L",NA,35829.75,3590.5,78658,56509.75,8409.25,"Low",0
"235","MGNS.L",NA,2677625,36525,1184525,297525,2725,"Low",0
"236","MOGP.L",NA,11790.5405,-701.01825,10431.02625,3537.09275,NA,"Low",0
"237","NXR.L",3550,257325,9900,247050,65375,18475,"Low",0
"238","PLP.L",NA,396250,40275,608250,295400,46775,"Low",0
"239","COD.L",NA,40325000,1148000,43895500,18530000,2603500,"Low",0
"240","SRC.L",NA,8545.7115,-1304.408,21705.8705,12800.65775,NA,"Low",0
"241","SMJ.L",NA,20840.25,3766,109724,92059,NA,"Low",0
"242","STCM.L",NA,82150.5255,-2478.71775,120386.36275,72993.788,NA,"Low",0
"243","TON.L",496.75,25984,1721.25,20249.25,13643,348.5,"Low",0
"244","TYMN.L",NA,481327.75,21493.25,701293.75,370420.75,113903,"Low",0
"245","VANL.L",NA,88937.5,7141.25,58824.75,27789.5,NA,"Low",0
"246","FAN.L",2360.75,168844.5,13660.5,272328,155334.25,100676.5,"Low",0
"247","ADA.L",NA,186.5,-0.5,1144,1101.25,NA,"Low",0
"248","BCRE.L",NA,15379,-8836.25,1418199.25,240939.5,NA,"Low",0
"249","BLV.L",NA,10472,2720.75,31886.25,18196.5,9002.25,"Low",0
"250","CNN.L",NA,759.75,1149,24011,19230.25,NA,"Low",0
"251","CAPC.L",NA,95050,63800,3974050,2818750,NA,"Low",0
"252","CAL.L",NA,87550,23100,974975,473800,NA,"Low",0
"253","CDFF.L",NA,432.75,2303.75,25615.25,24886.5,NA,"Low",0
"254","CRC.L",NA,4882.42075,8183.159,92509.31775,49513.9325,NA,"Low",0
"255","UTG.L",NA,180175,258300,2324350,1632175,19900,"Low",0
"256","UKCM.L",NA,70427.25,79347,1444480.5,1166623,NA,"Low",0
"257","SLI.L",NA,28584.444,29887.4775,473508.8885,334151.3605,NA,"Low",0
"258","SMP.L",NA,332750,97400,1641150,978650,NA,"Low",0
"259","SRE.L",NA,60529,57459.75,815544.75,448981,NA,"Low",0
"260","SPDI.L",NA,4838.1665,-12974.18925,100912.07425,37567.241,NA,"Low",0
"261","SREI.L",NA,26635.25,36926.5,478503.25,326995,NA,"Low",0
"262","SVS.L",NA,1522700,72000,1203525,428600,34425,"Low",0
"263","SAFE.L",NA,123500,112900,1101425,626075,NA,"Low",0
"264","SAF.L",NA,11529.75,3684,29469,18497.25,NA,"Low",0
"265","PURP.L",NA,40600.28575,-11852.15275,74662.20775,65570.36275,1924.935,"Low",0
"266","PLAZ.L",NA,76584.5,-39390.25,229187.5,24421.75,NA,"Low",0
"267","PIRI.L",NA,NA,-208.7955,692.3705,557.97675,NA,"Low",0
"268","PCTN.L",NA,47191.25,60155.25,673436.5,429095.5,NA,"Low",0
"269","PNS.L",NA,13490.25,8537.75,196639.5,83384.25,NA,"Low",0
"270","PCA.L",NA,13557.25,11682.75,201422.75,119922.25,NA,"Low",0
"271","MTVW.L",NA,74900,34158.75,380246.75,322538.5,NA,"Low",0
"272","MPO.L",NA,39693,2601.75,334956,150912.5,NA,"Low",0
"273","WINK.L",NA,5708.7955,1227.11275,5999.28475,5255.28375,805.75025,"Low",0
"274","LSL.L",NA,311131,33051,263938,131685,31363.75,"Low",0
"275","LAS.L",NA,41000,337,138192.25,41887.75,NA,"Low",0
"276","LOK.L",NA,16472,3267,131633.75,79203.5,2400.5,"Low",0
"277","INLZ.L",NA,998.25,NA,15729.25,50,NA,"Low",0
"278","INL.L",NA,113557.25,22293.25,250948,119536,NA,"Low",0
"279","HUNT.L",NA,13507.25,817.25,12902.75,6496.25,5163.25,"Low",0
"280","HMLH.L",NA,20667.25,1036,18648.25,11434.5,6122.75,"Low",0
"281","HLCL.L",NA,123240.75,61210.25,1170730.25,483953.75,NA,"Low",0
"282","HWG.L",NA,44648.25,49432.5,475858.5,370978.25,NA,"Low",0
"283","GRI.L",NA,237100,85025,1797925,700200,2825,"Low",0
"284","FOXT.L",NA,127907.25,9617.5,175021.5,138584.75,100508.75,"Low",0
"285","FLK.L",NA,3796.75,551.75,5261.5,4022.25,NA,"Low",0
"286","FCRE.L",NA,19204.75,26044.75,354499.25,241382.25,NA,"Low",0
"287","FCPT.L",NA,64600.5,82689.75,1432506.75,1102491.75,NA,"Low",0
"288","DUPD.L",NA,NA,-28420.25,63028.75,60315.25,NA,"Low",0
"289","DCI.L",NA,22429.25,-115453.5,497596.25,268512.75,NA,"Low",0
"290","DJAN.L",NA,137699,183740.75,2265999.25,1573615,NA,"Low",0
"291","CWD.L",NA,681942.75,-91685.75,771767,387680.25,196154,"Low",0
"292","CIC.L",NA,6932.25,-457.5,187878.5,143972.25,NA,"Low",0
"293","DFIB.L",NA,11344000,346950,5201650,1504525,213125,"Low",0
"294","GRG.L",NA,929824,59559.5,432402.5,289477.5,14031.25,"Low",0
"295","JARB.L",NA,38833250,2494250,76748750,23421750,1765250,"Low",0
"296","MCLS.L",NA,1068229,12764,413431.25,138464.75,2044.75,"Low",0
"297","MRW.L",NA,16859000,270500,9534000,4248750,432500,"Low",0
"298","OBT.L",NA,2898.5,-8524,178734.25,88677.25,NA,"Low",0
"299","OCDO.L",NA,1357975,-7350,887775,327125,97050,"Low",0
"300","SBRY.L",NA,28731500,264000,22771000,7933500,958750,"Low",0
"301","SSPG.L",NA,2191800,83850,1370600,349400,82925,"Low",0
"302","TSCO.L",NA,57163000,656500,45916500,10100500,1048000,"Low",0
"303","TOT.L",NA,3345687,35545.5,1126959,289518.25,66546.5,"Low",0
"304","UDG.L",NA,1134413.5,87257,1510514,795342.25,169792.5,"Low",0
"305","AVAP.L",NA,82837,18142.25,866524.75,181058.5,NA,"Low",0
"306","BBA.L",NA,2016925,60325,4031975,1990950,1071300,"Low",0
"307","BMS.L",NA,143517.5,1503,158992.5,101352.25,2309.25,"Low",0
"308","CLG.L",NA,316336.25,11101.75,135779.5,27290,3994.5,"Low",0
"309","DNA3.L",NA,70391.1005,8600.64075,563462.26225,159720.197,NA,"Low",0
"310","FSJ.L",NA,491182.5,40846.25,570175,264526.75,9777.25,"Low",0
"311","GMAA.L",NA,220312.75,10800.5,145337.75,62522,9575.5,"Low",0
"312","GPH.L",NA,115382,2051.75,711929.5,140184,430088.75,"Low",0
"313","MPL.L",NA,NA,-1442,112665,75828.75,NA,"Low",0
"314","OCN.L",NA,480741.25,38038.25,1252665.75,543190.75,28194.5,"Low",0
"315","STOB.L",NA,153692,24613.25,603022.25,403342.75,51283,"Low",0
"316","SUH.L",NA,6671.25,-1.5,68897.25,40199.25,NA,"Low",0
"317","WIN.L",NA,1136200,38400,348050,-174475,11875,"Low",0
"318","CCT.L",NA,110392.25,10172,69107.25,24187.25,NA,"High",0
"319","TUNE.L",NA,60876.5,7686,39826.5,29671.5,439,"High",0
"320","FDEV.L",8722.5,28921,3596,39398.25,32558.5,19714.75,"High",0
"321","GMD.L",NA,813425,575,219750,114250,40375,"High",0
"322","GAW.L",NA,153795.75,28994.75,85099.5,62999.5,5729.5,"High",0
"323","G4M.L",NA,48989.25,742.75,22188,9919.25,3346.75,"High",0
"324","HRN.L",NA,49240.75,-8338.5,42567.75,31104.75,4107.5,"High",0
"325","KNM.L",NA,245467500,25292500,351619000,244150000,23882250,"High",0
"326","LWRF.L",NA,2347.572,-1115.63725,2731.3025,1270.811,831.951,"High",0
"327","PHTM.L",NA,201415.75,33022.75,195609.25,124091.5,5787.75,"High",0
"328","BC94.L",15631692000,221466754500,31586432250,286365794750,201645876000,5547049000,"High",0
"329","TND.L",NA,35536.75,1286,23671.5,9877.25,451.5,"High",0
"330","AVON.L",NA,150479.5,18541.5,138044,56151,22239.25,"High",0
"331","BA.L",NA,17155500,914500,22710500,4171250,334500,"High",0
"332","BOE.L",3292500,96185500,7282000,103531500,2286750,2799750,"High",0
"333","CHG.L",47725,364725,-22125,667400,349850,61475,"High",0
"334","COB.L",NA,1992700,-168900,2872150,904725,361900,"High",0
"335","CHRT.L",NA,109241,6290.5,113140.5,65631,12252.75,"High",0
"336","DNA3.L",NA,70391.1005,8600.64075,563462.26225,159720.197,NA,"High",0
"337","DPA.L",NA,54085.50975,18540.44975,501537.04675,209243.7315,37284.529,"High",0
"338","MGGT.L",70500,1928650,206275,4854150,2359700,725025,"High",0
"339","QQ.L",NA,783900,118050,921375,474775,22625,"High",0
"340","RR.L",838000,14789000,-742000,26911500,1683000,1716000,"High",0
"341","SNR.L",NA,968000,51075,953275,507800,50225,"High",0
"342","ULE.L",NA,763548.75,41146.5,1045571,403324.75,143371.5,"High",0
"343","LPA.L",NA,22037,1423.75,17435.25,10027,NA,"High",0
"344","LUCE.L",NA,142063.75,5979.25,112164.75,29138,2785,"High",0
"345","MAW.L",NA,35617750,4362500,55582250,47250000,317750,"High",0
"346","MSYS.L",1000.062,638.69125,-3008.4485,5858.679,5283.4395,87.14925,"High",0
"347","MGAM.L",NA,984075,60025,947625,174250,44100,"High",0
